Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ABAX,ABAX,ABAX,ABAX,ABAX,ABAX
Date,,,,,,
2000-01-03,7.008105278015137,7.5,7.875,7.438000202178955,7.75,53100
2000-01-04,6.774501800537109,7.25,7.875,6.375,7.630000114440918,106500
2000-01-05,7.008105278015137,7.5,7.625,6.75,6.75,66900
2000-01-06,6.716100215911865,7.1875,7.75,7.0,7.1875,37500
2000-01-07,6.7165679931640625,7.188000202178955,7.25,6.875,7.159999847412109,50100
2000-01-10,6.833369731903076,7.313000202178955,7.313000202178955,7.0,7.130000114440918,55700
2000-01-11,6.6576995849609375,7.125,7.5,7.0,7.5,91000
2000-01-12,6.540897846221924,7.0,7.25,6.875,7.190000057220459,28500
2000-01-13,6.8913044929504395,7.375,7.5,7.25,7.25,59500
2000-01-14,6.8913044929504395,7.375,7.688000202178955,7.25,7.25,123800
2000-01-18,7.475311279296875,8.0,8.625,7.5,7.625,307600
2000-01-19,8.059321403503418,8.625,9.75,8.25,8.5625,293600
2000-01-20,8.118189811706543,8.687999725341797,9.0,8.25,9.0,130700
2000-01-21,8.292923927307129,8.875,9.125,8.437999725341797,8.4399995803833,134600
2000-01-24,8.059321403503418,8.625,9.0,8.25,9.0,75100
2000-01-25,8.234992027282715,8.812999725341797,9.0,8.718999862670898,8.75,75200
2000-01-26,8.292923927307129,8.875,9.0,8.437999725341797,8.9399995803833,118200
2000-01-27,8.118189811706543,8.687999725341797,8.875,8.5,8.875,136500
2000-01-28,7.94251823425293,8.5,8.75,8.375,8.630000114440918,77800
2000-01-31,7.592114448547363,8.125,8.5,7.5,8.4399995803833,97900
2000-02-01,7.358510971069336,7.875,8.125,7.5,7.78000020980835,72100
2000-02-02,7.183775424957275,7.688000202178955,8.0,7.5,7.880000114440918,39000
2000-02-03,6.8913044929504395,7.375,7.688000202178955,7.063000202178955,7.630000114440918,287100
2000-02-04,7.475311279296875,8.0,8.0,6.875,7.059999942779541,157400
2000-02-07,7.300110340118408,7.8125,8.5,7.25,7.9375,82600
2000-02-08,7.066972732543945,7.563000202178955,8.0,7.5,7.940000057220459,36500
2000-02-09,7.475311279296875,8.0,8.312999725341797,7.875,7.880000114440918,51000
2000-02-10,7.300577163696289,7.813000202178955,7.813000202178955,7.5,7.690000057220459,64000
2000-02-11,7.300577163696289,7.813000202178955,7.813000202178955,7.75,7.809999942779541,19300
2000-02-14,7.475311279296875,8.0,8.375,7.625,7.75,116000
2000-02-15,7.475311279296875,8.0,8.093999862670898,7.813000202178955,8.09000015258789,14100
2000-02-16,7.417379379272461,7.938000202178955,8.0,7.75,8.0,25200
2000-02-17,7.124906539916992,7.625,7.875,7.5,7.75,41800
2000-02-18,7.241708278656006,7.75,8.0,7.5,7.840000152587891,39100
2000-02-22,7.124906539916992,7.625,8.0,7.5,7.880000114440918,35000
2000-02-23,7.241708278656006,7.75,8.375,7.625,7.630000114440918,74900
2000-02-24,7.241708278656006,7.75,8.125,7.688000202178955,8.0600004196167,82700
2000-02-25,7.358510971069336,7.875,8.0,7.5,7.809999942779541,127200
2000-02-28,7.008105278015137,7.5,7.688000202178955,7.25,7.688000202178955,123700
2000-02-29,7.534180641174316,8.062999725341797,8.5,7.313000202178955,7.313000202178955,290000
2000-03-01,7.650515556335449,8.1875,8.8125,8.0,8.0625,194400
2000-03-02,8.117721557617188,8.6875,8.6875,8.375,8.375,46500
2000-03-03,9.344141960144043,10.0,10.5,8.562999725341797,8.630000114440918,507700
2000-03-06,9.344141960144043,10.0,11.0,9.375,10.4375,220900
2000-03-07,8.46859359741211,9.062999725341797,9.75,9.062999725341797,9.3100004196167,125200
2000-03-08,8.526527404785156,9.125,9.5,8.312999725341797,9.0,164000
2000-03-09,8.876932144165039,9.5,10.625,9.0,9.0,133000
2000-03-10,8.702197074890137,9.312999725341797,9.625,9.25,9.5,101200
2000-03-13,8.818533897399902,9.4375,9.875,9.25,9.4375,110100
2000-03-14,8.643329620361328,9.25,9.75,9.25,9.75,66800
2000-03-15,8.234992027282715,8.812999725341797,9.375,8.5,9.375,100700
2000-03-16,8.292923927307129,8.875,9.0,8.625,9.0,66600
2000-03-17,7.825717926025391,8.375,8.875,8.375,8.5600004196167,121900
2000-03-20,7.650515556335449,8.1875,8.5,8.125,8.375,95300
2000-03-21,7.475311279296875,8.0,8.375,7.813000202178955,8.220000267028809,101600
2000-03-22,7.592114448547363,8.125,8.25,7.8125,8.21875,99600
2000-03-23,7.927913665771484,8.484370231628418,8.625,8.125,8.21875,76900
2000-03-24,7.94251823425293,8.5,9.1875,8.25,8.75,119900
2000-03-27,8.059321403503418,8.625,9.125,8.312999725341797,8.75,68000
2000-03-28,7.708916664123535,8.25,8.75,8.125,8.75,142200
2000-03-29,7.94251823425293,8.5,8.5,8.0,8.130000114440918,85700
2000-03-30,7.825717926025391,8.375,8.562999725341797,8.187999725341797,8.5,86200
2000-03-31,7.708916664123535,8.25,8.25,7.375,8.25,147500
2000-04-03,7.358510971069336,7.875,8.5,7.875,8.5,114700
2000-04-04,6.628499984741211,7.09375,8.359370231628418,6.875,8.359370231628418,134500
2000-04-05,6.394895553588867,6.84375,7.625,6.75,7.25,97600
