Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ACTA,ACTA,ACTA,ACTA,ACTA,ACTA
Date,,,,,,
2000-01-03,4001.25,4001.25,4018.75,3482.5,3500.0,300260
2000-01-04,3580.0,3580.0,3932.5,3525.0,3932.5,249490
2000-01-05,3350.0,3350.0,3531.25,3020.0,3531.25,338530
2000-01-06,2900.0,2900.0,3462.5,2890.0,3365.0,223475
2000-01-07,3500.0,3500.0,3700.0,3140.0,3160.0,165080
2000-01-10,3315.0,3315.0,3435.0,3107.5,3435.0,284545
2000-01-11,2990.0,2990.0,3222.5,2858.75,3222.5,196350
2000-01-12,2665.0,2665.0,3000.0,2605.0,2900.0,233260
2000-01-13,2783.760009765625,2783.760009765625,2810.0,2601.260009765625,2740.0,127615
2000-01-14,2670.0,2670.0,2938.75,2601.25,2845.0,119010
2000-01-18,2775.0,2775.0,2900.0,2718.760009765625,2755.0,164755
2000-01-19,3007.5,3007.5,3018.760009765625,2775.0,2786.199951171875,150340
2000-01-20,3045.0,3045.0,3185.0,3010.0,3100.0,149155
2000-01-21,3180.0,3180.0,3220.0,3120.0,3193.800048828125,153650
2000-01-24,2870.0,2870.0,3273.760009765625,2803.760009765625,3270.0,159805
2000-01-25,2777.5,2777.5,2907.5,2706.260009765625,2907.5,157125
2000-01-26,2720.0,2720.0,2845.0,2700.0,2800.0,72235
2000-01-27,2600.0,2600.0,2757.5,2512.5,2740.0,123420
2000-01-28,2487.5,2487.5,2595.0,2432.5,2595.0,113945
2000-01-31,2380.0,2380.0,2430.0,2235.0,2418.800048828125,182215
2000-02-01,2377.5,2377.5,2420.0,2280.0,2397.60009765625,178785
2000-02-02,2240.0,2240.0,2422.5,2230.0,2422.5,207660
2000-02-03,2600.0,2600.0,2623.760009765625,2221.260009765625,2302.60009765625,664945
2000-02-04,2460.0,2460.0,2706.8759765625,2410.0,2625.0,296610
2000-02-07,2502.5,2502.5,2530.0,2400.0,2400.6259765625,113350
2000-02-08,2537.5,2537.5,2593.760009765625,2520.0,2548.800048828125,108885
2000-02-09,2525.0,2525.0,2610.0,2477.5,2545.0,132810
2000-02-10,2498.75,2498.75,2565.0,2380.0,2500.0,104995
2000-02-11,2437.5,2437.5,2535.0,2400.0,2525.0,86345
2000-02-14,2437.5,2437.5,2465.0,2400.0,2462.60009765625,74920
2000-02-15,2372.5,2372.5,2450.0,2325.0,2450.0,89285
2000-02-16,2402.5,2402.5,2422.5,2380.0,2395.0,138995
2000-02-17,2335.0,2335.0,2420.0,2305.0,2410.0,128475
2000-02-18,2290.0,2290.0,2380.0,2281.260009765625,2377.60009765625,124000
2000-02-22,2241.260009765625,2241.260009765625,2317.5,2200.0,2285.0,180935
2000-02-23,2385.0,2385.0,2420.0,2165.0,2245.0,300445
2000-02-24,2382.5,2382.5,2400.0,2281.260009765625,2397.60009765625,180480
