Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ACUR,ACUR,ACUR,ACUR,ACUR,ACUR
Date,,,,,,
2000-01-03,56.25,56.25,65.6500015258789,50.0,56.25,1172
2000-01-04,56.25,56.25,62.5,53.150001525878906,56.25,1300
2000-01-05,56.25,56.25,56.25,50.0,56.25,324
2000-01-06,68.75,68.75,75.0,50.0,68.75,1560
2000-01-07,59.400001525878906,59.400001525878906,68.75,59.400001525878906,59.400001525878906,758
2000-01-10,59.400001525878906,59.400001525878906,68.75,53.150001525878906,59.400001525878906,762
2000-01-11,53.150001525878906,53.150001525878906,59.400001525878906,53.150001525878906,53.150001525878906,560
2000-01-12,56.25,56.25,62.5,53.150001525878906,56.25,1200
2000-01-13,56.25,56.25,59.400001525878906,53.150001525878906,56.25,778
2000-01-14,59.400001525878906,59.400001525878906,62.5,56.25,59.400001525878906,524
2000-01-18,71.9000015258789,71.9000015258789,71.9000015258789,56.25,71.9000015258789,2750
2000-01-19,71.9000015258789,71.9000015258789,75.0,71.9000015258789,71.9000015258789,1174
2000-01-20,93.75,93.75,100.0,71.9000015258789,93.75,4860
2000-01-21,103.1500015258789,103.1500015258789,109.4000015258789,96.9000015258789,103.1500015258789,2846
2000-01-24,106.25,106.25,112.5,100.0,106.25,3146
2000-01-25,90.6500015258789,90.6500015258789,109.4000015258789,84.4000015258789,90.6500015258789,736
2000-01-26,84.4000015258789,84.4000015258789,87.5,75.0,84.4000015258789,704
2000-01-27,96.9000015258789,96.9000015258789,100.0,84.4000015258789,96.9000015258789,760
2000-01-28,93.75,93.75,100.0,87.5,93.75,686
2000-01-31,93.75,93.75,100.0,87.5,93.75,960
2000-02-01,96.9000015258789,96.9000015258789,96.9000015258789,90.6500015258789,96.9000015258789,1184
2000-02-02,96.9000015258789,96.9000015258789,103.1500015258789,93.75,96.9000015258789,948
2000-02-03,96.9000015258789,96.9000015258789,100.0,87.5,96.9000015258789,508
2000-02-04,93.75,93.75,100.0,87.5,93.75,1212
2000-02-07,96.9000015258789,96.9000015258789,100.0,87.5,96.9000015258789,1328
2000-02-08,100.0,100.0,100.0,93.75,100.0,602
2000-02-09,100.0,100.0,100.0,93.75,100.0,608
2000-02-10,90.6500015258789,90.6500015258789,100.0,90.6500015258789,90.6500015258789,682
2000-02-11,96.9000015258789,96.9000015258789,100.0,93.75,96.9000015258789,914
2000-02-14,93.75,93.75,100.0,87.5,93.75,762
2000-02-15,93.75,93.75,93.75,87.5,93.75,1476
2000-02-16,100.0,100.0,100.0,93.75,100.0,1110
2000-02-17,103.1500015258789,103.1500015258789,112.5,100.0,103.1500015258789,3850
2000-02-18,112.5,112.5,112.5,106.25,112.5,1710
2000-02-22,118.75,118.75,118.75,106.25,118.75,2496
2000-02-23,93.75,93.75,121.9000015258789,93.75,93.75,3176
2000-02-24,87.5,87.5,90.6500015258789,78.1500015258789,87.5,878
2000-02-25,90.6500015258789,90.6500015258789,90.6500015258789,81.25,90.6500015258789,402
2000-02-28,93.75,93.75,100.0,87.5,93.75,1072
2000-02-29,96.9000015258789,96.9000015258789,106.25,87.5,96.9000015258789,1470
2000-03-01,93.75,93.75,112.5,93.75,93.75,2026
2000-03-02,100.0,100.0,100.0,90.6500015258789,100.0,940
2000-03-03,93.75,93.75,96.9000015258789,90.6500015258789,93.75,874
2000-03-06,96.9000015258789,96.9000015258789,103.1500015258789,93.75,96.9000015258789,2018
2000-03-07,103.1500015258789,103.1500015258789,103.1500015258789,96.9000015258789,103.1500015258789,832
2000-03-08,103.1500015258789,103.1500015258789,106.25,96.9000015258789,103.1500015258789,1684
2000-03-09,109.4000015258789,109.4000015258789,109.4000015258789,96.9000015258789,109.4000015258789,1536
2000-03-10,106.25,106.25,112.5,103.1500015258789,106.25,1590
2000-03-13,96.9000015258789,96.9000015258789,106.25,96.9000015258789,96.9000015258789,1522
2000-03-14,68.75,68.75,100.0,62.5,68.75,8226
