Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ADTN,ADTN,ADTN,ADTN,ADTN,ADTN
Date,,,,,,
2000-01-03,16.88926887512207,25.578125,26.25,24.5625,26.1875,251600
2000-01-04,16.363088607788086,24.78125,25.8125,24.53125,25.125,284400
2000-01-05,16.590068817138672,25.125,25.5,24.71875,24.78125,849000
2000-01-06,16.868637084960938,25.546875,26.0,24.75,24.875,269800
2000-01-07,18.38526725769043,27.84375,28.125,25.125,25.53125,889400
2000-01-10,19.726491928100586,29.875,30.1875,28.0,28.1875,1557400
2000-01-11,18.983654022216797,28.75,29.75,28.34375,29.0,728000
2000-01-12,18.73604393005371,28.375,31.03125,27.46875,30.0,1554200
2000-01-13,19.602689743041992,29.6875,30.125,27.59375,28.6875,409600
2000-01-14,19.80903434753418,30.0,30.75,29.75,29.9375,820600
2000-01-18,20.665369033813477,31.296875,31.4375,29.8125,29.8125,1015800
2000-01-19,21.6661376953125,32.8125,32.9375,30.6875,31.0,1100600
2000-01-20,22.47087860107422,34.03125,34.3125,32.75,33.0,1496000
2000-01-21,22.739118576049805,34.4375,35.25,33.625,33.625,1028800
2000-01-24,22.59468650817871,34.21875,35.75,34.0625,35.4375,699000
2000-01-25,23.069271087646484,34.9375,35.0,32.5625,34.21875,769600
2000-01-26,22.821670532226562,34.5625,35.03125,33.75,34.0,637600
2000-01-27,21.934371948242188,33.21875,34.84375,32.875,34.5,1087400
2000-01-28,21.7074031829834,32.875,33.65625,31.6875,32.875,448000
2000-01-31,21.377246856689453,32.375,33.125,31.3125,32.5,449200
2000-02-01,21.89310646057129,33.15625,33.875,32.5,32.5,498400
2000-02-02,22.574052810668945,34.1875,34.1875,32.9375,33.453125,732400
2000-02-03,22.862934112548828,34.625,35.0625,34.3125,34.5,972400
2000-02-04,23.069271087646484,34.9375,35.5,34.6875,34.96875,683000
2000-02-07,23.770835876464844,36.0,36.0,34.875,35.0,314600
2000-02-08,23.791479110717773,36.03125,36.4375,35.125,36.0,612200
2000-02-09,23.306577682495117,35.296875,37.375,35.125,36.5625,459400
2000-02-10,22.615318298339844,34.25,35.75,33.1875,35.375,662200
2000-02-11,23.02800750732422,34.875,35.1875,34.375,34.46875,625600
2000-02-14,22.16135597229004,33.5625,35.125,33.25,35.125,447600
2000-02-15,22.862934112548828,34.625,34.625,33.0625,33.75,305000
2000-02-16,23.29625129699707,35.28125,35.5,34.0,34.53125,1281800
2000-02-17,23.63673210144043,35.796875,36.375,34.75,35.875,800200
2000-02-18,23.750202178955078,35.96875,36.375,35.375,35.875,466800
2000-02-22,22.697860717773438,34.375,36.25,33.0625,36.0625,622800
2000-02-23,22.285165786743164,33.75,34.5,31.75,34.3125,801200
2000-02-24,22.666902542114258,34.328125,34.328125,32.5703125,33.625,263800
2000-02-25,24.400192260742188,36.953125,37.25,34.5,34.65625,536000
2000-02-28,23.760528564453125,35.984375,36.90625,35.0,36.65625,379600
2000-02-29,24.286705017089844,36.78125,37.9375,36.03125,36.0625,1375400
2000-03-01,24.224803924560547,36.6875,37.390625,33.75,36.875,723400
2000-03-02,23.812116622924805,36.0625,37.5,35.96875,36.75,292600
2000-03-03,24.7303524017334,37.453125,37.75,36.0,36.75,585000
2000-03-06,25.5866756439209,38.75,40.25,37.65625,37.6875,873200
2000-03-07,25.256519317626953,38.25,40.0,38.0,39.0,403800
2000-03-08,26.0612735748291,39.46875,39.5,37.25,38.5625,322800
2000-03-09,26.30887794494629,39.84375,39.9375,38.125,39.59375,269600
2000-03-10,26.246971130371094,39.75,39.9375,38.4375,39.40625,343800
2000-03-13,25.731117248535156,38.96875,39.4375,36.40625,38.4375,300800
2000-03-14,24.781932830810547,37.53125,39.75,37.125,39.25,482000
2000-03-15,24.431140899658203,37.0,37.875,35.96875,37.5,393200
2000-03-16,25.5866756439209,38.75,38.75,35.28125,37.6875,512800
2000-03-17,24.389873504638672,36.9375,38.5,36.5,36.96875,365800
2000-03-20,24.307334899902344,36.8125,38.5,36.75,37.0,223200
2000-03-21,24.761295318603516,37.5,37.5,35.4375,37.125,379000
