Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AEIS,AEIS,AEIS,AEIS,AEIS,AEIS
Date,,,,,,
2000-01-03,44.66669845581055,45.375,49.625,44.3125,49.5,94000
2000-01-04,44.297550201416016,45.0,47.0,44.875,45.375,202700
2000-01-05,43.55925750732422,44.25,45.125,44.0,44.625,132700
2000-01-06,43.067054748535156,43.75,44.5,42.9375,44.5,53300
2000-01-07,43.19010925292969,43.875,45.125,43.25,43.5,90000
2000-01-10,46.881568908691406,47.625,49.5,44.0,45.0,275300
2000-01-11,45.83565139770508,46.5625,48.375,45.0,46.875,239300
2000-01-12,43.805355072021484,44.5,46.6875,44.0,46.5625,232600
2000-01-13,43.00553512573242,43.6875,44.6875,43.4375,44.25,276000
2000-01-14,48.235107421875,49.0,53.0,45.0625,45.75,545600
2000-01-18,50.203880310058594,51.0,52.25,48.75,49.5,121200
2000-01-19,54.787445068359375,55.65625,57.25,52.0,52.5,594900
2000-01-20,58.017478942871094,58.9375,62.25,56.0,56.0,469400
2000-01-21,60.032405853271484,60.984375,63.75,58.125,58.25,372100
2000-01-24,59.98625946044922,60.9375,62.25,59.25,60.9375,347400
2000-01-25,59.92473220825195,60.875,61.5625,59.0,60.9375,426000
2000-01-26,61.647422790527344,62.625,63.25,59.3125,59.3125,272100
2000-01-27,59.09415817260742,60.03125,63.1875,59.0,62.75,553200
2000-01-28,49.21949768066406,50.0,60.375,49.375,59.875,449600
2000-01-31,50.080833435058594,50.875,55.125,50.25,50.5,363100
2000-02-01,52.78791046142578,53.625,55.0,50.0,51.625,224000
2000-02-02,54.449066162109375,55.3125,57.0,52.25,54.0,150600
2000-02-03,56.72547149658203,57.625,58.5625,54.125,55.0,252500
2000-02-04,58.325096130371094,59.25,59.75,57.5625,57.5625,197700
2000-02-07,60.909114837646484,61.875,62.5,59.25,59.5,185600
2000-02-08,61.35517120361328,62.328125,62.75,59.75,61.5,197800
2000-02-09,57.95595169067383,58.875,62.75,58.75,62.5625,222000
2000-02-10,57.2176628112793,58.125,62.25,56.75,58.875,230800
2000-02-11,60.847599029541016,61.8125,66.375,58.125,58.3125,548000
2000-02-14,59.43253707885742,60.375,62.25,59.125,61.75,259300
2000-02-15,59.063392639160156,60.0,60.4375,57.625,60.4375,337700
2000-02-16,62.016563415527344,63.0,64.0,60.8125,61.3125,205100
2000-02-17,62.877899169921875,63.875,63.9375,61.75,63.5,96100
2000-02-18,60.04777145385742,61.0,63.125,60.375,62.625,109800
2000-02-22,58.325096130371094,59.25,61.375,58.875,60.75,298300
2000-02-23,60.78607940673828,61.75,64.5,59.5625,60.125,182400
2000-02-24,67.43069458007812,68.5,69.0,62.375,62.5,380800
2000-02-25,66.67704772949219,67.734375,70.25,66.75,69.0,211600
2000-02-28,66.69241333007812,67.75,69.5,66.5,67.5,105600
2000-02-29,71.6143569946289,72.75,73.5,69.75,69.75,158900
2000-03-01,72.10658264160156,73.25,74.75,72.0,72.0,104300
2000-03-02,69.76863861083984,70.875,75.75,70.75,72.875,141900
2000-03-03,70.50691986083984,71.625,72.75,69.75,71.25,153000
2000-03-06,70.19928741455078,71.3125,74.25,71.0,72.0,334600
2000-03-07,70.07625579833984,71.1875,77.4375,71.0,72.5,214500
2000-03-08,67.67680358886719,68.75,72.375,66.5,72.0,238300
2000-03-09,67.67680358886719,68.75,69.4375,67.5,68.8125,113800
2000-03-10,69.95320892333984,71.0625,72.5,68.3125,68.75,124600
2000-03-13,66.81546020507812,67.875,69.5,66.75,69.0,365100
2000-03-14,64.7236328125,65.75,69.4375,63.875,68.6875,161200
2000-03-15,60.293880462646484,61.25,66.125,61.25,65.8125,214400
2000-03-16,62.708702087402344,63.703125,64.0,52.5,61.75,423600
2000-03-17,60.539974212646484,61.5,63.875,58.125,63.0,601100
2000-03-20,56.479366302490234,57.375,61.25,57.0,60.25,296500
