Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AFAM,AFAM,AFAM,AFAM,AFAM,AFAM
Date,,,,,,
2000-01-03,0.964483380317688,1.0625,1.0625,1.0,1.0299999713897705,44200
2000-01-04,0.9363431334495544,1.031499981880188,1.031499981880188,0.968999981880188,0.9700000286102295,9200
2000-01-05,0.9077490568161011,1.0,1.0,1.0,1.0,2000
2000-01-06,0.9077490568161011,1.0,1.0,1.0,1.0,0
2000-01-07,0.964483380317688,1.0625,1.0625,1.0,1.0,5000
2000-01-10,0.9930774569511414,1.093999981880188,1.093999981880188,1.0154999494552612,1.0154999494552612,16600
2000-01-11,1.1346863508224487,1.25,1.375,1.1095000505447388,1.125,25200
2000-01-12,1.1346863508224487,1.25,1.25,1.25,1.25,11800
2000-01-13,1.1346863508224487,1.25,1.25,1.25,1.25,0
2000-01-14,1.0779520273208618,1.1875,1.281499981880188,1.1875,1.190000057220459,2200
2000-01-18,1.0779520273208618,1.1875,1.1875,1.156499981880188,1.156499981880188,600
2000-01-19,1.0779520273208618,1.1875,1.1875,1.0625,1.125,33800
2000-01-20,1.0779520273208618,1.1875,1.1875,1.156499981880188,1.1875,4600
2000-01-21,1.0920220613479614,1.2029999494552612,1.2029999494552612,1.1875,1.190000057220459,6400
2000-01-24,1.0352877378463745,1.1404999494552612,1.2029999494552612,1.1404999494552612,1.190000057220459,20400
2000-01-25,1.0352877378463745,1.1404999494552612,1.1404999494552612,1.125,1.125,1400
2000-01-26,1.0498117208480835,1.156499981880188,1.25,1.1404999494552612,1.25,5200
2000-01-27,1.0779520273208618,1.1875,1.1875,1.1875,1.1875,3600
2000-01-28,1.0920220613479614,1.2029999494552612,1.2029999494552612,1.2029999494552612,1.2029999494552612,800
2000-01-31,1.0920220613479614,1.2029999494552612,1.2029999494552612,1.2029999494552612,1.2029999494552612,0
2000-02-01,1.1346863508224487,1.25,1.25,1.156499981880188,1.2050000429153442,9400
2000-02-02,1.2481549978256226,1.375,1.375,1.218999981880188,1.25,43600
2000-02-03,1.2481549978256226,1.375,1.375,1.375,1.375,2000
2000-02-04,1.2623385190963745,1.390625,1.5625,1.3125,1.5625,46400
2000-02-07,1.3616235256195068,1.5,1.656499981880188,1.468999981880188,1.625,9000
2000-02-08,1.3048893213272095,1.4375,1.4529999494552612,1.4375,1.4529999494552612,5200
2000-02-09,1.3616235256195068,1.5,1.6095000505447388,1.5,1.5800000429153442,6400
2000-02-10,1.2481549978256226,1.375,1.6095000505447388,1.375,1.6095000505447388,32000
2000-02-11,1.3616235256195068,1.5,1.5,1.3125,1.315000057220459,13000
2000-02-14,1.3048893213272095,1.4375,1.4375,1.4375,1.4375,3200
2000-02-15,1.2767490148544312,1.406499981880188,1.406499981880188,1.3125,1.315000057220459,11600
2000-02-16,1.3048893213272095,1.4375,1.4375,1.4375,1.4375,400
2000-02-17,1.3048893213272095,1.4375,1.4375,1.3125,1.315000057220459,600
2000-02-18,1.3616235256195068,1.5,1.5,1.5,1.5,1200
2000-02-22,1.3616235256195068,1.5,1.5,1.25,1.5,23600
2000-02-23,1.1914206743240356,1.3125,1.3125,1.3125,1.3125,800
2000-02-24,1.1914206743240356,1.3125,1.3125,1.3125,1.3125,1800
2000-02-25,1.2054907083511353,1.3279999494552612,1.406499981880188,1.3279999494552612,1.375,14800
2000-02-28,1.1632803678512573,1.281499981880188,1.6095000505447388,1.281499981880188,1.4049999713897705,14200
2000-02-29,1.1632803678512573,1.281499981880188,1.281499981880188,1.281499981880188,1.281499981880188,0
2000-03-01,1.1632803678512573,1.281499981880188,1.406499981880188,1.281499981880188,1.281499981880188,2800
2000-03-02,1.2481549978256226,1.375,1.375,1.281499981880188,1.281499981880188,8200
2000-03-03,1.1632803678512573,1.281499981880188,1.375,1.281499981880188,1.3450000286102295,5600
2000-03-06,1.1632803678512573,1.281499981880188,1.281499981880188,1.281499981880188,1.281499981880188,200
2000-03-07,1.1632803678512573,1.281499981880188,1.2970000505447388,1.281499981880188,1.2949999570846558,1600
2000-03-08,1.2767490148544312,1.406499981880188,1.406499981880188,1.406499981880188,1.406499981880188,200
2000-03-09,1.2767490148544312,1.406499981880188,1.406499981880188,1.406499981880188,1.406499981880188,0
2000-03-10,1.2481549978256226,1.375,1.4375,1.343999981880188,1.3450000286102295,7400
2000-03-13,1.2481549978256226,1.375,1.375,1.375,1.375,2200
2000-03-14,1.3616235256195068,1.5,1.5,1.375,1.375,6200
2000-03-15,1.3616235256195068,1.5,1.5,1.359375,1.375,16800
2000-03-16,1.3616235256195068,1.5,1.5,1.4220000505447388,1.4220000505447388,13200
2000-03-17,1.276522159576416,1.40625,1.453125,1.40625,1.40625,2400
2000-03-20,1.3048893213272095,1.4375,1.718999981880188,1.4375,1.690000057220459,9000
2000-03-21,1.2767490148544312,1.406499981880188,1.406499981880188,1.406499981880188,1.406499981880188,800
2000-03-22,1.2767490148544312,1.406499981880188,1.406499981880188,1.406499981880188,1.406499981880188,0
2000-03-23,1.2767490148544312,1.406499981880188,1.406499981880188,1.406499981880188,1.406499981880188,0
2000-03-24,1.3048893213272095,1.4375,1.4375,1.4375,1.4375,2600
2000-03-27,1.3616235256195068,1.5,1.5,1.4375,1.440000057220459,1800
2000-03-28,1.2481549978256226,1.375,1.375,0.875,0.875,21600
2000-03-29,1.3616235256195068,1.5,1.5,1.5,1.5,5600
2000-03-30,1.3616235256195068,1.5,1.5,1.375,1.375,5200
2000-03-31,1.2767490148544312,1.406499981880188,1.4375,1.406499981880188,1.4375,14200
2000-04-03,1.2481549978256226,1.375,1.4375,1.375,1.375,14200
2000-04-04,1.1346863508224487,1.25,1.3125,1.25,1.3125,16200
2000-04-05,1.2340848445892334,1.3595000505447388,1.3595000505447388,1.343999981880188,1.3450000286102295,1400
2000-04-06,1.333483338356018,1.468999981880188,1.5,1.406499981880188,1.406499981880188,57600
2000-04-07,1.3616235256195068,1.5,1.5625,1.5,1.5625,12800
2000-04-10,1.2908191680908203,1.4220000505447388,1.468999981880188,1.4220000505447388,1.468999981880188,4600
2000-04-11,1.2340848445892334,1.3595000505447388,1.3595000505447388,1.3595000505447388,1.3595000505447388,400
2000-04-12,1.2622250318527222,1.3904999494552612,1.4375,1.3279999494552612,1.375,14000
2000-04-13,1.3048893213272095,1.4375,1.4375,1.281499981880188,1.281499981880188,15200
2000-04-14,1.3048893213272095,1.4375,1.4375,1.4375,1.4375,200
2000-04-17,1.2481549978256226,1.375,1.375,1.25,1.2649999856948853,5400
2000-04-18,1.2200146913528442,1.343999981880188,1.3595000505447388,1.031499981880188,1.3595000505447388,49600
2000-04-19,1.2481549978256226,1.375,1.4375,1.281499981880188,1.281499981880188,14800
2000-04-20,1.1487563848495483,1.2654999494552612,1.2654999494552612,1.2654999494552612,1.2654999494552612,200
2000-04-24,1.1914206743240356,1.3125,1.3125,1.3125,1.3125,600
2000-04-25,1.1914206743240356,1.3125,1.3125,1.3125,1.3125,0
2000-04-26,1.2481549978256226,1.375,1.375,1.343999981880188,1.3450000286102295,1800
2000-04-27,1.2481549978256226,1.375,1.375,1.375,1.375,2200
2000-04-28,1.2481549978256226,1.375,1.375,1.375,1.375,8000
2000-05-01,1.2481549978256226,1.375,1.375,1.375,1.375,1600
2000-05-02,1.2481549978256226,1.375,1.375,1.375,1.375,6800
2000-05-03,1.1632803678512573,1.281499981880188,1.343999981880188,1.281499981880188,1.281499981880188,12400
2000-05-04,1.1632803678512573,1.281499981880188,1.281499981880188,1.281499981880188,1.281499981880188,0
2000-05-05,1.1632803678512573,1.281499981880188,1.281499981880188,1.281499981880188,1.281499981880188,400
2000-05-08,1.1632803678512573,1.281499981880188,1.281499981880188,1.281499981880188,1.281499981880188,0
2000-05-09,1.1914206743240356,1.3125,1.4375,1.2654999494552612,1.2799999713897705,26800
2000-05-10,1.1914206743240356,1.3125,1.375,1.3125,1.315000057220459,27800
2000-05-11,1.1632803678512573,1.281499981880188,1.281499981880188,1.281499981880188,1.281499981880188,2400
2000-05-12,1.2200146913528442,1.343999981880188,1.343999981880188,1.343999981880188,1.343999981880188,4000
2000-05-15,1.1914206743240356,1.3125,1.3279999494552612,1.3125,1.3279999494552612,8800
2000-05-16,1.2481549978256226,1.375,1.375,1.281499981880188,1.281499981880188,3600
2000-05-17,1.1632803678512573,1.281499981880188,1.375,1.281499981880188,1.375,1000
2000-05-18,1.1773505210876465,1.2970000505447388,1.2970000505447388,1.281499981880188,1.281499981880188,1400
2000-05-19,1.1773505210876465,1.2970000505447388,1.2970000505447388,1.2970000505447388,1.2970000505447388,0
2000-05-22,1.1773505210876465,1.2970000505447388,1.2970000505447388,1.281499981880188,1.2949999570846558,1400
2000-05-23,1.2200146913528442,1.343999981880188,1.343999981880188,1.25,1.315000057220459,45600
2000-05-24,1.1773505210876465,1.2970000505447388,1.2970000505447388,1.281499981880188,1.281499981880188,30000
2000-05-25,1.1346863508224487,1.25,1.25,1.25,1.25,2200
2000-05-26,1.1346863508224487,1.25,1.25,1.25,1.25,0
2000-05-30,1.1487563848495483,1.2654999494552612,1.2654999494552612,1.25,1.25,1600
2000-05-31,1.2200146913528442,1.343999981880188,1.343999981880188,1.343999981880188,1.343999981880188,3000
2000-06-01,1.1065460443496704,1.218999981880188,1.218999981880188,1.218999981880188,1.218999981880188,800
2000-06-02,1.1346863508224487,1.25,1.25,1.25,1.25,200
2000-06-05,1.1346863508224487,1.25,1.25,1.25,1.25,2200
2000-06-06,1.2200146913528442,1.343999981880188,1.343999981880188,1.25,1.25,9000
2000-06-07,1.2200146913528442,1.343999981880188,1.343999981880188,1.343999981880188,1.343999981880188,0
2000-06-08,1.1346863508224487,1.25,1.25,1.25,1.25,200
2000-06-09,1.1346863508224487,1.25,1.25,1.25,1.25,0
2000-06-12,1.1346863508224487,1.25,1.25,1.25,1.25,0
2000-06-13,1.1914206743240356,1.3125,1.3125,1.3125,1.3125,8000
