Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AGYS,AGYS,AGYS,AGYS,AGYS,AGYS
Date,,,,,,
2000-01-03,12.968846321105957,14.375,14.5,14.125,14.5,433000
2000-01-04,12.967718124389648,14.34375,14.4375,13.9375,14.0,98500
2000-01-05,12.76994800567627,14.125,14.5,14.125,14.3125,908800
2000-01-06,12.65694522857666,14.0,14.3125,13.75,14.0,146700
2000-01-07,12.543932914733887,13.875,14.0625,13.75,14.0,266300
2000-01-10,12.713447570800781,14.0625,14.1875,13.875,14.0,124600
2000-01-11,12.317914009094238,13.625,14.1875,13.375,14.0625,84800
2000-01-12,12.430924415588379,13.75,13.875,13.4375,13.5,130100
2000-01-13,12.487428665161133,13.8125,13.875,13.625,13.8125,84800
2000-01-14,12.995966911315918,14.375,14.4375,13.75,13.75,198300
2000-01-18,12.995966911315918,14.375,14.5,14.125,14.375,77000
2000-01-19,13.052472114562988,14.4375,14.4375,14.125,14.28125,109300
2000-01-20,13.22198486328125,14.625,14.75,14.3125,14.3125,261400
2000-01-21,13.080724716186523,14.46875,14.6875,14.125,14.625,201700
2000-01-24,12.911212921142578,14.28125,14.5625,14.0625,14.5625,224100
2000-01-25,12.939462661743164,14.3125,15.125,14.0,14.25,593100
2000-01-26,12.76994800567627,14.125,14.5,14.0,14.5,99800
2000-01-27,12.430924415588379,13.75,14.1875,13.5,14.1875,85400
2000-01-28,12.76994800567627,14.125,14.1875,13.125,13.5,213500
2000-01-31,12.33204174041748,13.640625,14.125,13.375,13.875,129000
2000-02-01,12.374421119689941,13.6875,13.9375,13.5625,13.8125,82000
2000-02-02,12.65694522857666,14.0,14.0,13.6875,13.6875,108000
2000-02-03,12.713447570800781,14.0625,14.25,13.75,14.125,80700
2000-02-04,12.882956504821777,14.25,14.4375,14.0,14.125,112500
2000-02-07,12.882956504821777,14.25,14.5,14.125,14.5,95200
2000-02-08,12.995966911315918,14.375,14.5,13.9375,14.4375,125500
2000-02-09,12.826454162597656,14.1875,14.375,14.0625,14.0625,111800
2000-02-10,12.882956504821777,14.25,14.3125,14.125,14.1875,252700
2000-02-11,13.193732261657715,14.59375,14.75,14.125,14.3125,335700
2000-02-14,13.22198486328125,14.625,14.875,14.3125,14.625,144500
2000-02-15,13.900033950805664,15.375,16.0,14.4375,14.75,294300
2000-02-16,13.617512702941895,15.0625,15.5,15.0,15.375,232500
2000-02-17,14.408575057983398,15.9375,16.0,14.9375,15.0,367900
2000-02-18,14.52157974243164,16.0625,16.5,15.5,16.125,309700
2000-02-22,13.674018859863281,15.125,16.0,15.125,15.65625,192500
2000-02-23,13.504504203796387,14.9375,15.375,14.625,15.25,111800
2000-02-24,14.634588241577148,16.1875,16.25,14.9375,15.0,834100
2000-02-25,16.047197341918945,17.75,17.875,16.40625,16.4375,975400
2000-02-28,16.047197341918945,17.75,18.0,17.5,17.75,736900
2000-02-29,16.61223602294922,18.375,18.625,17.8125,18.0,445800
2000-03-01,16.66874122619629,18.4375,18.75,17.4375,18.75,297000
2000-03-02,15.821174621582031,17.5,18.4375,17.3125,18.25,257700
2000-03-03,16.27321434020996,18.0,18.125,17.8125,18.125,476100
2000-03-06,15.694040298461914,17.359375,18.125,17.125,18.0,186800
2000-03-07,15.651667594909668,17.3125,18.0,17.25,17.375,358600
2000-03-08,15.369140625,17.0,17.375,16.3125,17.34375,209700
2000-03-09,15.708171844482422,17.375,17.375,16.875,17.125,322600
2000-03-10,15.48215389251709,17.125,17.625,17.0,17.375,159200
2000-03-13,15.030118942260742,16.625,17.625,16.0,16.75,257400
2000-03-14,14.465080261230469,16.0,17.0625,15.875,16.875,156500
2000-03-15,14.013045310974121,15.5,16.125,15.375,16.0,255700
2000-03-16,13.674018859863281,15.125,15.625,14.875,15.5,199200
2000-03-17,14.182557106018066,15.6875,15.75,14.9375,15.125,131600
2000-03-20,13.504504203796387,14.9375,15.75,14.4375,15.4375,209900
2000-03-21,13.504504203796387,14.9375,14.9375,14.25,14.625,124300
2000-03-22,12.798201560974121,14.15625,15.0,13.875,15.0,78000
2000-03-23,13.900033950805664,15.375,15.625,14.125,14.125,326000
2000-03-24,13.900033950805664,15.375,15.703125,15.0625,15.1875,193800
2000-03-27,13.787023544311523,15.25,15.625,15.125,15.28125,70800
2000-03-28,14.52157974243164,16.0625,16.125,15.25,15.375,479400
2000-03-29,14.069548606872559,15.5625,16.1875,15.3125,16.1875,235400
2000-03-30,14.352069854736328,15.875,16.125,15.25,15.6875,586700
2000-03-31,14.239057540893555,15.75,15.875,15.5625,15.8125,155200
2000-04-03,13.813335418701172,15.25,15.875,14.9375,15.75,77100
2000-04-04,13.643499374389648,15.0625,15.75,14.5625,14.875,213600
2000-04-05,13.36043930053711,14.75,15.375,14.5,14.75,161500
2000-04-06,13.643499374389648,15.0625,15.25,14.8125,15.0,145500
2000-04-07,13.586886405944824,15.0,15.3125,14.875,15.25,51300
2000-04-10,13.586886405944824,15.0,15.25,14.75,15.0625,98800
2000-04-11,13.247218132019043,14.625,14.75,14.5,14.5,92400
2000-04-12,12.171589851379395,13.4375,14.75,13.4375,14.5625,95500
2000-04-13,11.888531684875488,13.125,14.0,12.75,14.0,228300
2000-04-14,11.605466842651367,12.8125,13.0625,12.375,12.75,128800
2000-04-17,11.492243766784668,12.6875,13.125,12.0,12.625,125400
2000-04-18,12.001753807067871,13.25,13.75,12.375,12.375,278000
2000-04-19,12.681096076965332,14.0,14.0,13.375,13.5625,321200
2000-04-20,12.737709999084473,14.0625,14.125,13.25,13.75,268500
2000-04-24,11.94513988494873,13.1875,13.625,12.9375,13.625,67600
2000-04-25,12.171589851379395,13.4375,13.5,13.0,13.25,236000
2000-04-26,12.454647064208984,13.75,13.75,13.3125,13.5625,391500
2000-04-27,13.077381134033203,14.4375,14.625,13.25,13.3125,97100
2000-04-28,13.869950294494629,15.3125,15.3125,14.4375,14.5625,174200
2000-05-01,14.209624290466309,15.6875,15.6875,15.0,15.1875,279900
2000-05-02,13.643499374389648,15.0625,15.1875,15.0,15.1875,425200
2000-05-03,12.511260032653809,13.8125,15.125,13.296875,15.0625,327900
2000-05-04,12.681096076965332,14.0,14.3125,13.625,13.6875,103000
2000-05-05,14.039788246154785,15.5,15.5,13.75,14.25,132700
2000-05-08,13.247218132019043,14.625,14.9375,14.375,14.6875,191200
2000-05-09,12.681096076965332,14.0,15.125,13.375,14.9375,344700
2000-05-10,12.454647064208984,13.75,14.0625,13.4375,13.75,371500
2000-05-11,12.228199005126953,13.5,14.0,13.5,13.8125,73800
2000-05-12,12.567873001098633,13.875,13.9375,13.5,13.5,300000
2000-05-15,12.794320106506348,14.125,14.25,13.65625,13.875,195800
2000-05-16,13.473668098449707,14.875,15.125,14.0,14.1875,255200
2000-05-17,12.850932121276855,14.1875,14.875,13.8125,14.84375,111000
2000-05-18,12.341423988342285,13.625,14.125,13.5,14.125,238100
2000-05-19,12.114978790283203,13.375,13.75,13.25,13.625,60700
2000-05-22,11.775307655334473,13.0,13.5,12.875,13.5,195900
2000-05-23,11.775307655334473,13.0,13.125,12.9375,12.9375,101200
2000-05-24,10.643062591552734,11.75,13.0,11.6875,12.9375,468000
2000-05-25,10.756288528442383,11.875,12.484375,11.875,12.25,243300
2000-05-26,10.982738494873047,12.125,12.125,11.375,11.75,238700
2000-05-30,10.869513511657715,12.0,12.5,12.0,12.5,290100
2000-05-31,10.869513511657715,12.0,12.125,11.9375,12.0,232700
2000-06-01,10.954429626464844,12.09375,12.4375,12.0,12.0625,326600
2000-06-02,11.662081718444824,12.875,13.625,12.6875,12.6875,604500
2000-06-05,12.228199005126953,13.5,13.75,12.0,12.75,189700
2000-06-06,12.28481388092041,13.5625,13.625,13.1875,13.5625,69100
2000-06-07,13.020769119262695,14.375,14.75,13.125,13.375,477600
2000-06-08,12.737709999084473,14.0625,14.4375,14.0,14.4375,132900
2000-06-09,12.398036003112793,13.6875,14.375,13.5625,14.375,104600
2000-06-12,12.341423988342285,13.625,14.0,13.5,13.9375,93700
2000-06-13,12.681096076965332,14.0,14.015625,13.3125,13.5625,217800
2000-06-14,12.794320106506348,14.125,14.3125,13.5,14.03125,380700
2000-06-15,12.681096076965332,14.0,14.1875,13.625,14.125,95200
2000-06-16,12.681096076965332,14.0,14.25,13.8125,14.0625,197300
2000-06-19,13.077381134033203,14.4375,14.4375,13.8125,13.96875,66700
2000-06-20,13.417055130004883,14.8125,15.0625,14.3125,14.375,234100
2000-06-21,13.374593734741211,14.765625,14.875,14.5625,14.8125,99600
2000-06-22,13.077381134033203,14.4375,15.5,14.1875,14.9375,189200
2000-06-23,13.36043930053711,14.75,14.875,13.5625,14.5625,205500
