Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ALCO,ALCO,ALCO,ALCO,ALCO,ALCO
Date,,,,,,
2000-01-03,10.501433372497559,16.375,16.875,16.375,16.875,600
2000-01-04,10.180780410766602,15.875,15.875,15.875,15.875,100
2000-01-05,9.900208473205566,15.4375,15.875,15.4375,15.875,400
2000-01-06,10.421271324157715,16.25,16.25,16.25,16.25,1400
2000-01-07,10.581599235534668,16.5,16.5,16.5,16.5,900
2000-01-10,10.020452499389648,15.625,16.75,15.625,16.0,6700
2000-01-11,10.341106414794922,16.125,16.125,16.125,16.125,600
2000-01-12,10.461349487304688,16.3125,16.3125,15.75,16.125,4900
2000-01-13,10.661762237548828,16.625,16.625,16.5,16.625,20200
2000-01-14,10.260942459106445,16.0,17.0,16.0,17.0,7200
2000-01-18,10.140697479248047,15.8125,16.625,15.625,16.4375,16300
2000-01-19,10.421271324157715,16.25,16.875,16.25,16.875,14400
2000-01-20,10.341106414794922,16.125,16.25,16.125,16.25,1700
2000-01-21,10.501433372497559,16.375,16.5,16.125,16.125,12000
2000-01-24,10.260942459106445,16.0,16.625,16.0,16.5625,7100
2000-01-25,9.940290451049805,15.5,15.75,15.25,15.75,8700
2000-01-26,9.940290451049805,15.5,15.5,15.5,15.5,0
2000-01-27,10.020452499389648,15.625,15.625,15.25,15.5,6300
2000-01-28,9.940290451049805,15.5,15.5625,15.25,15.25,1700
2000-01-31,10.020452499389648,15.625,15.625,15.625,15.625,800
2000-02-01,10.020452499389648,15.625,15.625,15.625,15.625,4400
2000-02-02,10.100616455078125,15.75,15.875,15.75,15.875,2500
2000-02-03,10.501433372497559,16.375,16.375,15.75,15.75,9800
2000-02-04,10.501433372497559,16.375,17.0,16.375,16.5,16500
2000-02-07,10.581599235534668,16.5,16.5,16.5,16.5,700
2000-02-08,11.06257438659668,17.25,17.4375,17.0,17.0,27300
2000-02-09,11.02249813079834,17.1875,17.34375,16.375,16.375,3700
2000-02-10,11.303072929382324,17.625,18.0,16.5,17.375,18400
2000-02-11,10.86216926574707,16.9375,16.9375,16.9375,16.9375,200
2000-02-14,10.661762237548828,16.625,16.625,16.625,16.625,800
2000-02-15,10.661762237548828,16.625,17.5,16.625,17.0,2500
2000-02-16,11.06257438659668,17.25,17.25,16.75,16.75,800
2000-02-17,11.06257438659668,17.25,17.25,17.25,17.25,0
2000-02-18,11.06257438659668,17.25,17.25,16.8125,16.875,2500
2000-02-22,10.822089195251465,16.875,16.875,16.875,16.875,1100
2000-02-23,10.741923332214355,16.75,17.0,16.75,17.0,2700
2000-02-24,10.741923332214355,16.75,17.625,16.75,17.625,1900
2000-02-25,10.902252197265625,17.0,17.0,17.0,17.0,3500
2000-02-28,10.982416152954102,17.125,17.125,16.75,16.75,9500
2000-02-29,10.581599235534668,16.5,17.0625,16.375,16.75,15500
2000-03-01,10.581599235534668,16.5,16.875,16.5,16.5,6300
2000-03-02,10.741923332214355,16.75,17.0,16.5,16.5,16200
2000-03-03,10.741923332214355,16.75,17.125,16.75,16.75,7700
2000-03-06,10.581599235534668,16.5,16.75,16.5,16.75,2300
2000-03-07,10.581599235534668,16.5,16.5,16.5,16.5,1600
2000-03-08,10.501433372497559,16.375,16.375,16.375,16.375,1100
2000-03-09,10.501433372497559,16.375,16.625,16.375,16.375,9800
2000-03-10,10.421271324157715,16.25,16.25,16.25,16.25,700
2000-03-13,10.341106414794922,16.125,16.125,16.125,16.125,1900
2000-03-14,10.341106414794922,16.125,16.125,16.125,16.125,100
2000-03-15,10.260942459106445,16.0,16.25,15.875,16.25,7200
2000-03-16,10.501433372497559,16.375,16.375,16.0,16.25,2500
2000-03-17,10.260942459106445,16.0,16.0,16.0,16.0,100
2000-03-20,10.260942459106445,16.0,16.0,16.0,16.0,100
2000-03-21,10.260942459106445,16.0,16.25,16.0,16.0,6000
2000-03-22,10.421271324157715,16.25,16.25,16.0,16.0,1700
2000-03-23,10.260942459106445,16.0,16.0,16.0,16.0,1100
2000-03-24,10.260942459106445,16.0,16.0,16.0,16.0,100
2000-03-27,10.260942459106445,16.0,16.25,15.875,15.875,1200
2000-03-28,10.341106414794922,16.125,16.125,16.0,16.125,4400
2000-03-29,10.341106414794922,16.125,16.125,16.125,16.125,0
2000-03-30,10.180780410766602,15.875,16.0,15.875,16.0,300
2000-03-31,10.421271324157715,16.25,16.25,15.875,15.875,2600
2000-04-03,9.940290451049805,15.5,16.125,15.375,16.125,5900
2000-04-04,10.080573081970215,15.71875,15.71875,15.25,15.25,5700
2000-04-05,10.501433372497559,16.375,16.375,15.25,15.25,1400
2000-04-06,10.180780410766602,15.875,15.875,15.875,15.875,3200
2000-04-07,10.541516304016113,16.4375,16.484375,15.5,15.5,4000
2000-04-10,9.940290451049805,15.5,15.5,15.5,15.5,3600
2000-04-11,10.260942459106445,16.0,16.0,16.0,16.0,300
2000-04-12,10.581599235534668,16.5,16.5,15.75,16.5,500
2000-04-13,10.020452499389648,15.625,15.875,15.625,15.625,1600
2000-04-14,10.100616455078125,15.75,15.75,15.625,15.75,4500
2000-04-17,10.260942459106445,16.0,16.0,16.0,16.0,900
2000-04-18,10.260942459106445,16.0,16.0,16.0,16.0,200
2000-04-19,11.06257438659668,17.25,17.25,16.3125,16.3125,8600
2000-04-20,11.06257438659668,17.25,17.25,16.75,16.75,4800
2000-04-24,10.581599235534668,16.5,16.5625,15.875,16.5625,1300
2000-04-25,10.86216926574707,16.9375,16.9375,16.25,16.25,500
2000-04-26,10.86216926574707,16.9375,16.9375,16.9375,16.9375,0
2000-04-27,10.581599235534668,16.5,16.5,16.5,16.5,100
2000-04-28,10.581599235534668,16.5,16.5,16.5,16.5,100
2000-05-01,11.02249813079834,17.1875,17.1875,17.0,17.0,400
2000-05-02,11.052555084228516,17.234375,17.234375,16.5,17.0,8500
2000-05-03,11.052555084228516,17.234375,17.234375,17.234375,17.234375,0
2000-05-04,10.581599235534668,16.5,16.5,16.5,16.5,200
2000-05-05,10.581599235534668,16.5,16.5,16.5,16.5,0
2000-05-08,10.581599235534668,16.5,16.5,16.5,16.5,1300
2000-05-09,10.581599235534668,16.5,16.5,16.5,16.5,2500
2000-05-10,10.661762237548828,16.625,16.625,16.5,16.5,300
2000-05-11,10.180780410766602,15.875,16.375,15.875,16.25,8800
2000-05-12,10.260942459106445,16.0,16.0,15.75,15.875,6700
2000-05-15,10.260942459106445,16.0,16.0,16.0,16.0,2400
2000-05-16,10.180780410766602,15.875,16.0,15.75,15.75,8100
2000-05-17,10.180780410766602,15.875,15.875,15.875,15.875,0
2000-05-18,10.100616455078125,15.75,16.25,15.75,16.25,1900
2000-05-19,10.100616455078125,15.75,15.75,15.75,15.75,0
2000-05-22,10.140697479248047,15.8125,16.0,15.75,16.0,8800
2000-05-23,9.98037338256836,15.5625,15.5625,15.5625,15.5625,200
2000-05-24,10.220860481262207,15.9375,15.9375,15.625,15.625,3000
2000-05-25,10.020452499389648,15.625,16.0,15.625,16.0,2100
2000-05-26,10.421271324157715,16.25,16.25,15.875,15.875,5300
2000-05-30,9.659716606140137,15.0625,16.125,15.0625,16.125,6500
2000-05-31,9.860124588012695,15.375,15.625,15.0625,15.0625,2000
2000-06-01,9.779962539672852,15.25,15.5,14.828125,15.5,19100
2000-06-02,9.860124588012695,15.375,15.375,15.375,15.375,600
2000-06-05,9.860124588012695,15.375,15.375,15.375,15.375,0
2000-06-06,9.860124588012695,15.375,15.375,15.375,15.375,1100
2000-06-07,10.341106414794922,16.125,16.1875,15.0,15.0,27500
2000-06-08,10.260942459106445,16.0,16.0,15.75,15.75,38100
2000-06-09,10.260942459106445,16.0,16.0,16.0,16.0,100
2000-06-12,10.260942459106445,16.0,16.25,15.875,15.875,5700
2000-06-13,10.260942459106445,16.0,16.0,16.0,16.0,0
2000-06-14,10.260942459106445,16.0,16.0,16.0,16.0,0
2000-06-15,10.220860481262207,15.9375,16.0,15.9375,15.9375,3000
2000-06-16,10.220860481262207,15.9375,16.0,15.9375,15.9375,4100
2000-06-19,10.741923332214355,16.75,16.75,16.25,16.25,3800
2000-06-20,10.260942459106445,16.0,18.0,16.0,16.6875,5600
2000-06-21,10.341106414794922,16.125,16.125,16.125,16.125,700
2000-06-22,10.421271324157715,16.25,16.25,15.9375,16.0,6100
2000-06-23,10.260942459106445,16.0,16.25,15.9375,16.25,1500
2000-06-26,10.260942459106445,16.0,16.0,16.0,16.0,0
2000-06-27,10.260942459106445,16.0,16.0,16.0,16.0,0
2000-06-28,10.260942459106445,16.0,16.0,16.0,16.0,0
2000-06-29,10.260942459106445,16.0,16.0,16.0,16.0,0
2000-06-30,10.180780410766602,15.875,15.875,15.875,15.875,600
2000-07-03,10.180780410766602,15.875,15.875,15.875,15.875,1400
2000-07-05,10.180780410766602,15.875,16.0,15.875,15.875,2900
2000-07-06,10.180780410766602,15.875,15.875,15.875,15.875,0
2000-07-07,10.020452499389648,15.625,15.875,15.625,15.875,3200
2000-07-10,10.180780410766602,15.875,15.875,15.625,15.875,2300
2000-07-11,10.260942459106445,16.0,16.0,15.625,15.625,1000
2000-07-12,10.140697479248047,15.8125,15.8125,15.8125,15.8125,100
2000-07-13,10.100616455078125,15.75,15.875,15.75,15.875,2100
2000-07-14,10.100616455078125,15.75,15.75,15.5,15.5,1300
2000-07-17,10.180780410766602,15.875,15.875,15.75,15.875,3900
2000-07-18,10.180780410766602,15.875,15.875,15.875,15.875,1100
2000-07-19,10.180780410766602,15.875,15.875,15.875,15.875,0
2000-07-20,10.581599235534668,16.5,16.5,15.875,15.875,5100
2000-07-21,10.301024436950684,16.0625,16.0625,16.0625,16.0625,900
2000-07-24,10.260942459106445,16.0,16.0,16.0,16.0,100
2000-07-25,10.260942459106445,16.0,16.0,16.0,16.0,500
2000-07-26,10.260942459106445,16.0,16.0,16.0,16.0,100
2000-07-27,10.341106414794922,16.125,16.125,16.0,16.0,23600
2000-07-28,10.260942459106445,16.0,16.0,16.0,16.0,1000
2000-07-31,10.741923332214355,16.75,16.75,16.0,16.75,2000
2000-08-01,10.581599235534668,16.5,16.5,16.0,16.0,200
2000-08-02,10.581599235534668,16.5,16.5,16.125,16.125,700
2000-08-03,10.341106414794922,16.125,16.125,16.125,16.125,100
2000-08-04,10.341106414794922,16.125,16.125,16.125,16.125,0
2000-08-07,10.38118839263916,16.1875,16.375,16.1875,16.375,600
2000-08-08,10.341106414794922,16.125,16.25,16.0625,16.0625,20700
2000-08-09,10.341106414794922,16.125,16.125,16.125,16.125,3900
2000-08-10,10.341106414794922,16.125,16.125,16.125,16.125,900
2000-08-11,10.341106414794922,16.125,16.125,16.0,16.0,9800
2000-08-14,10.341106414794922,16.125,16.125,16.125,16.125,0
2000-08-15,10.260942459106445,16.0,16.0,16.0,16.0,1400
2000-08-16,10.301024436950684,16.0625,16.0625,16.0,16.0,153700
2000-08-17,10.260942459106445,16.0,16.0625,16.0,16.0625,35800
2000-08-18,10.220860481262207,15.9375,16.0,15.9375,16.0,2000
2000-08-21,10.501433372497559,16.375,16.375,15.9375,15.9375,86900
2000-08-22,10.260942459106445,16.0,16.1875,16.0,16.1875,3000
2000-08-23,10.341106414794922,16.125,16.125,16.125,16.125,400
2000-08-24,10.421271324157715,16.25,16.25,16.125,16.25,12600
2000-08-25,10.341106414794922,16.125,16.125,16.125,16.125,100
2000-08-28,10.341106414794922,16.125,16.125,16.125,16.125,3400
2000-08-29,10.341106414794922,16.125,16.125,16.125,16.125,4100
2000-08-30,10.341106414794922,16.125,16.125,16.125,16.125,500
2000-08-31,10.341106414794922,16.125,16.125,16.125,16.125,0
2000-09-01,10.341106414794922,16.125,16.125,16.125,16.125,300
2000-09-05,10.341106414794922,16.125,16.3125,16.125,16.3125,900
2000-09-06,10.341106414794922,16.125,16.125,16.125,16.125,0
2000-09-07,10.421271324157715,16.25,16.25,16.25,16.25,300
2000-09-08,10.421271324157715,16.25,16.25,16.25,16.25,9100
2000-09-11,10.421271324157715,16.25,16.25,16.25,16.25,3700
2000-09-12,10.461349487304688,16.3125,16.375,16.3125,16.3125,4900
2000-09-13,10.501433372497559,16.375,16.375,16.375,16.375,1700
2000-09-14,10.501433372497559,16.375,16.375,16.375,16.375,0
2000-09-15,10.501433372497559,16.375,16.375,16.3125,16.375,22200
2000-09-18,10.421271324157715,16.25,16.3125,16.25,16.3125,9300
2000-09-19,10.501433372497559,16.375,16.375,16.25,16.25,14700
2000-09-20,10.421271324157715,16.25,16.25,16.25,16.25,700
2000-09-21,10.421271324157715,16.25,16.25,16.25,16.25,1600
2000-09-22,10.501433372497559,16.375,16.375,16.375,16.375,300
2000-09-25,10.421271324157715,16.25,16.375,16.25,16.25,15300
2000-09-26,10.421271324157715,16.25,16.25,16.25,16.25,300
2000-09-27,10.421271324157715,16.25,16.25,16.25,16.25,2000
2000-09-28,10.421271324157715,16.25,16.25,16.25,16.25,0
2000-09-29,10.501433372497559,16.375,16.375,16.375,16.375,600
2000-10-02,10.461349487304688,16.3125,16.3125,16.25,16.25,1900
2000-10-03,10.441311836242676,16.28125,16.28125,16.25,16.25,600
2000-10-04,10.501433372497559,16.375,16.4375,16.3125,16.3125,2600
2000-10-05,10.581599235534668,16.5,16.5625,16.375,16.4375,10700
2000-10-06,10.741923332214355,16.75,16.75,16.625,16.75,3800
2000-10-09,10.78200626373291,16.8125,16.875,16.75,16.875,9700
2000-10-10,10.78200626373291,16.8125,16.8125,16.8125,16.8125,0
2000-10-11,10.78200626373291,15.8125,16.0,15.8125,16.0,1400
2000-10-12,10.9098539352417,16.0,16.0,16.0,16.0,900
2000-10-13,10.9098539352417,16.0,16.0,16.0,16.0,2000
2000-10-16,10.483691215515137,15.375,15.6875,15.375,15.6875,5500
2000-10-17,10.56892204284668,15.5,15.5,15.5,15.5,2200
2000-10-18,10.56892204284668,15.5,15.5,15.3125,15.3125,2000
2000-10-19,10.44107437133789,15.3125,15.3125,15.3125,15.3125,100
2000-10-20,10.44107437133789,15.3125,15.5,15.3125,15.3125,800
2000-10-23,10.44107437133789,15.3125,15.3125,15.3125,15.3125,0
2000-10-24,10.654156684875488,15.625,15.625,15.375,15.5,3100
2000-10-25,10.654156684875488,15.625,15.625,15.625,15.625,100
2000-10-26,10.56892204284668,15.5,15.625,15.5,15.625,400
2000-10-27,10.483691215515137,15.375,15.375,15.375,15.375,800
2000-10-30,10.654156684875488,15.625,15.9375,15.5,15.5,2300
2000-10-31,10.824621200561523,15.875,15.875,15.5,15.5,3300
2000-11-01,10.824621200561523,15.875,15.875,15.625,15.625,1600
2000-11-02,10.73939037322998,15.75,15.9375,15.625,15.9375,7000
2000-11-03,10.73939037322998,15.75,15.75,15.625,15.625,3100
2000-11-06,10.824621200561523,15.875,15.875,15.75,15.875,2300
2000-11-07,10.9098539352417,16.0,16.0,16.0,16.0,400
2000-11-08,10.9098539352417,16.0,16.0,15.75,15.75,4400
2000-11-09,10.9098539352417,16.0,16.0,16.0,16.0,3800
2000-11-10,10.9098539352417,16.0,16.0,15.875,15.875,1100
2000-11-13,11.037704467773438,16.1875,16.1875,16.1875,16.1875,100
2000-11-14,10.824621200561523,15.875,15.875,15.875,15.875,200
2000-11-15,10.824621200561523,15.875,15.875,15.875,15.875,2800
2000-11-16,10.824621200561523,15.875,15.875,15.875,15.875,400
2000-11-17,10.9098539352417,16.0,16.0,15.8125,15.875,3700
2000-11-20,10.9098539352417,16.0,16.0,16.0,16.0,100
2000-11-21,10.73939037322998,15.75,15.75,15.75,15.75,1700
2000-11-22,10.867241859436035,15.9375,15.9375,15.75,15.875,4500
2000-11-24,10.867241859436035,15.9375,15.9375,15.9375,15.9375,0
2000-11-27,11.037704467773438,16.1875,16.1875,16.0,16.0,4100
2000-11-28,10.9098539352417,16.0,16.25,16.0,16.25,1000
2000-11-29,10.9098539352417,16.0,16.0,16.0,16.0,0
2000-11-30,11.421257019042969,16.75,16.75,16.375,16.5,8000
