Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MDRX,MDRX,MDRX,MDRX,MDRX,MDRX
Date,,,,,,
2000-01-03,20.9897403717041,52.0,52.0,41.375,44.6875,245000
2000-01-04,20.131986618041992,49.875,50.3125,45.3125,48.25,153100
2000-01-05,20.636547088623047,51.125,51.25,48.625,48.625,127400
2000-01-06,18.416479110717773,45.625,50.5625,45.3125,50.53125,82500
2000-01-07,18.567848205566406,46.0,47.5,44.75,45.9375,86800
2000-01-10,18.719215393066406,46.375,48.0,42.625,47.0,316300
2000-01-11,19.93016242980957,49.375,50.75,43.5,45.625,111200
2000-01-12,18.517391204833984,45.875,50.5,45.875,49.4375,434400
2000-01-13,18.593074798583984,46.0625,46.5,44.1875,46.375,378000
2000-01-14,18.36602210998535,45.5,47.0,45.125,47.0,207800
2000-01-18,18.18942642211914,45.0625,49.875,45.0625,45.8125,217300
2000-01-19,18.16419792175293,45.0,45.375,44.375,45.125,289000
2000-01-20,19.12286376953125,47.375,48.0,44.625,44.625,1539400
2000-01-21,23.235036849975586,57.5625,58.78125,47.375,48.5,1047000
2000-01-24,20.78791618347168,51.5,57.125,51.5,55.75,288300
2000-01-25,21.393388748168945,53.0,53.5,51.5,51.75,172700
2000-01-26,20.78791618347168,51.5,52.875,51.125,52.5625,259000
2000-01-27,20.283355712890625,50.25,52.25,48.875,51.6875,907200
2000-01-28,19.375144958496094,48.0,50.125,43.5,45.0,286200
2000-01-31,19.22377586364746,47.625,48.25,47.125,48.15625,46100
2000-02-01,18.26511001586914,45.25,47.8125,44.5,47.8125,77000
2000-02-02,18.239883422851562,45.1875,46.0,45.1875,45.5,159800
2000-02-03,18.01283073425293,44.625,46.125,42.375,46.125,256400
2000-02-04,19.12286376953125,47.375,49.125,44.0,44.25,221400
2000-02-07,19.778793334960938,49.0,52.1875,47.25,47.25,224800
2000-02-08,18.01283073425293,44.625,49.375,43.0,49.0,256500
2000-02-09,18.06328582763672,44.75,45.875,44.0,44.0,155200
2000-02-10,19.627426147460938,48.625,49.0,44.75,44.75,192800
2000-02-11,18.87058448791504,46.75,49.0,46.75,48.5,47200
2000-02-14,19.627426147460938,48.625,49.5,47.0,47.5,146400
2000-02-15,18.567848205566406,46.0,49.5,44.875,49.25,151800
2000-02-16,19.12286376953125,47.375,47.375,44.0,46.0625,232100
2000-02-17,20.157215118408203,49.9375,50.75,47.5625,47.5625,727700
2000-02-18,20.18244171142578,50.0,50.25,49.75,50.0625,593600
2000-02-22,20.88882827758789,51.75,51.9375,49.875,50.09375,311500
2000-02-23,20.78791618347168,51.5,52.0,50.5,51.859375,156300
2000-02-24,20.737459182739258,51.375,52.0,51.0,51.5,114100
2000-02-25,24.572124481201172,60.875,72.75,52.0,52.0,693800
2000-02-28,23.411632537841797,58.0,61.5,53.5625,61.5,178600
2000-02-29,27.851770401000977,69.0,71.0,58.0,59.125,287300
2000-03-01,28.659069061279297,71.0,71.3125,67.5,67.75,324100
2000-03-02,28.457244873046875,70.5,72.0,60.0,71.25,277700
2000-03-03,31.48461151123047,78.0,80.75,71.25,73.0,466700
2000-03-06,29.466365814208984,73.0,78.5,70.0,78.28125,192900
2000-03-07,31.71166229248047,78.5625,84.4375,75.1875,76.609375,2074100
2000-03-08,32.19099426269531,79.75,80.25,76.875,78.0,311300
2000-03-09,34.713802337646484,86.0,89.625,78.0,78.0,616700
2000-03-10,33.95695877075195,84.125,87.0,82.0,83.25,361500
2000-03-13,33.50285339355469,83.0,86.0,79.75,81.125,125500
2000-03-14,32.241451263427734,79.875,86.25,79.125,82.875,336100
2000-03-15,31.83780288696289,78.875,82.0,78.125,79.125,280200
2000-03-16,29.769102096557617,73.75,79.75,73.25,78.90625,326600
2000-03-17,29.466365814208984,73.0,76.0,73.0,73.875,282900
2000-03-20,28.507699966430664,70.625,72.5625,70.5,72.5,136000
2000-03-21,25.783069610595703,63.875,70.28125,57.3125,70.28125,448800
2000-03-22,25.026229858398438,62.0,66.875,61.75,62.0,91300
2000-03-23,25.026229858398438,62.0,63.0,61.5,61.75,168000
2000-03-24,25.32896614074707,62.75,62.875,61.25,61.8125,201200
2000-03-27,24.34507179260254,60.3125,63.375,60.3125,63.34375,317200
2000-03-28,22.200687408447266,55.0,62.25,54.1875,62.0,115500
2000-03-29,22.099775314331055,54.75,58.5,51.75,54.625,253000
2000-03-30,25.152368545532227,62.3125,65.125,51.75,53.0,262400
2000-03-31,24.26938819885254,60.125,64.0,56.5,64.0,221200
2000-04-03,20.18244171142578,50.0,60.25,49.0,58.25,261300
2000-04-04,16.549602508544922,41.0,50.0,33.5,49.25,881800
2000-04-05,17.583953857421875,43.5625,44.25,40.125,40.625,313700
2000-04-06,17.91191864013672,44.375,46.125,44.0,44.0625,395000
2000-04-07,19.450828552246094,48.1875,51.625,45.0,45.875,442100
2000-04-10,19.02195167541504,47.125,50.25,46.25,48.125,340000
2000-04-11,16.29732322692871,40.375,47.1875,39.5625,47.1875,221400
2000-04-12,13.320411682128906,33.0,41.5,32.25,40.75,265300
2000-04-13,12.588798522949219,31.1875,35.5625,28.0,33.96875,505500
2000-04-14,9.99030876159668,24.75,31.375,21.75,30.875,404100
2000-04-17,10.898519515991211,27.0,29.375,21.75,21.75,372500
2000-04-18,11.327396392822266,28.0625,30.234375,24.8125,27.5,280200
2000-04-19,10.898519515991211,27.0,29.0,26.25,29.0,136600
2000-04-20,10.696694374084473,26.5,28.375,25.625,26.625,66200
2000-04-24,8.829818725585938,21.875,28.0,20.5,28.0,191900
2000-04-25,10.01553726196289,24.8125,24.8125,19.375,22.4375,264000
2000-04-26,10.39395809173584,25.75,27.5,24.0,24.8125,359600
2000-04-27,12.109465599060059,30.0,30.0,25.125,25.25,388500
2000-04-28,12.513114929199219,31.0,35.0,29.6875,30.375,561700
2000-05-01,15.288200378417969,37.875,41.0,30.625,30.6875,299700
2000-05-02,14.53135871887207,36.0,38.625,35.625,38.59375,123100
2000-05-03,13.875429153442383,34.375,36.9375,33.0,36.84375,117000
2000-05-04,14.53135871887207,36.0,36.0,33.0,35.25,56800
2000-05-05,13.925885200500488,34.5,36.0,33.9375,35.5,171300
2000-05-08,13.370868682861328,33.125,36.625,32.25,34.125,31600
2000-05-09,14.077253341674805,34.875,35.625,30.375,33.1875,72100
2000-05-10,14.077253341674805,34.875,35.625,30.125,33.5,157100
2000-05-11,15.035920143127441,37.25,37.25,34.5,34.75,107500
2000-05-12,14.480902671813965,35.875,37.3125,35.0,37.1875,86600
2000-05-15,15.49002456665039,38.375,38.375,35.875,35.9375,67800
2000-05-16,14.379990577697754,35.625,40.0,34.375,38.3125,182100
2000-05-17,14.808867454528809,36.6875,37.5,35.375,35.8125,61100
2000-05-18,14.682726860046387,36.375,38.0,35.375,37.0,60400
2000-05-19,14.480902671813965,35.875,36.25,35.875,36.0,47500
2000-05-22,14.53135871887207,36.0,36.5,31.8125,36.5,74300
2000-05-23,13.370868682861328,33.125,36.0,33.0,36.0,79600
2000-05-24,12.059009552001953,29.875,33.625,28.5,33.625,138200
2000-05-25,11.857185363769531,29.375,31.0625,29.0,29.75,141100
2000-05-26,11.403079986572266,28.25,29.75,28.125,29.75,39300
2000-05-30,11.428308486938477,28.3125,29.5,28.125,29.0,119900
2000-05-31,11.201255798339844,27.75,29.125,27.75,29.0,154700
2000-06-01,11.125571250915527,27.5625,28.75,26.75,28.75,165700
2000-06-02,11.806729316711426,29.25,30.75,28.125,28.3125,450900
2000-06-05,11.125571250915527,27.5625,28.8125,27.25,28.0625,330700
2000-06-06,10.948975563049316,27.125,28.0,27.125,28.0,447600
2000-06-07,11.125571250915527,27.5625,27.875,26.75,27.25,66000
2000-06-08,11.100343704223633,27.5,27.9375,26.0,27.21875,786800
2000-06-09,11.699509620666504,28.984375,31.5625,27.5,28.0,486400
